fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2020-12-31 23:00:00+00:00,2021-12-30 23:45:00+00:00,2024-09-03 22:00:00+00:00,2024-10-02 23:45:00+00:00,365,1,1.0,30,1,1.0,34948,30000,2792,24.366174281318795,19.584439792441756,15.016679034294759,12.391885567029842,0.8037552209193903,True,1.0,1.0,0,4,ida1_volume_mw_lag_2d_same_local_qh|ida1_volume_mw_lag_1d_same_local_qh|ida1_volume_mw_lag_7d_same_local_qh|ida1_volume_mw_lag_14d_same_local_qh,76.65857939101988
2,2020-12-31 23:00:00+00:00,2024-10-01 23:45:00+00:00,2024-10-03 00:00:00+00:00,2024-11-01 23:45:00+00:00,395,977,3.4771573604060912,30,1,1.0,37736,30000,2872,24.951165494827396,34.63593006517292,15.293653941385648,17.85959663435397,1.3881487849677108,True,3.0,1.0,0,0,,95.5891152190161
3,2020-12-31 23:00:00+00:00,2024-10-31 23:45:00+00:00,2024-11-02 00:00:00+00:00,2024-12-01 23:45:00+00:00,425,977,3.30188679245283,30,1,1.0,40608,30000,2688,24.89285281325451,26.807182943046325,14.8830157650718,12.674524730032758,1.0769028019469309,True,0.3,1.0,0,0,,98.21257137798239
4,2020-12-31 23:00:00+00:00,2024-11-30 23:45:00+00:00,2024-12-02 00:00:00+00:00,2024-12-31 23:45:00+00:00,455,977,3.149779735682819,30,1,1.0,43296,30000,2784,24.435177955544344,32.44904682368092,14.615696305289676,14.297577264195537,1.3279644160036999,True,0.1,1.0,0,0,,80.84742951003136
5,2020-12-31 23:00:00+00:00,2024-12-30 23:45:00+00:00,2025-01-01 00:00:00+00:00,2025-01-30 23:45:00+00:00,485,977,3.0165289256198347,30,1,1.0,46080,30000,2880,24.64448018589475,22.643183306103893,14.361614701032794,10.748467492062142,0.918793301189761,True,0.3,1.0,0,0,,79.05237586598378
6,2020-12-31 23:00:00+00:00,2025-01-29 23:45:00+00:00,2025-01-31 00:00:00+00:00,2025-03-01 23:45:00+00:00,515,977,2.8988326848249026,30,1,1.0,48960,30000,2784,25.18628577230253,10.22561665341865,14.39816765428188,7.009264396649808,0.40599938974184935,True,1.0,1.0,0,0,,83.20116406702437
7,2020-12-31 23:00:00+00:00,2025-02-28 23:45:00+00:00,2025-03-02 00:00:00+00:00,2025-04-01 23:45:00+00:00,545,977,2.7941176470588234,30,2,1.0344827586206897,51744,30000,2788,24.597458909435208,12.317638677234326,13.886250753803877,8.307967101178752,0.5007687469907499,True,0.3,1.0,0,0,,87.06257643603021
8,2020-12-31 23:00:00+00:00,2025-03-31 23:45:00+00:00,2025-04-02 00:00:00+00:00,2025-05-01 23:45:00+00:00,575,977,2.702090592334495,30,1,1.0,54532,30000,2784,24.371654527365003,14.32815369231196,13.634109168861594,9.066988201558306,0.5879023796363111,True,0.3,1.0,0,0,,121.25181215500925
9,2020-12-31 23:00:00+00:00,2025-04-30 23:45:00+00:00,2025-05-02 00:00:00+00:00,2025-05-31 23:45:00+00:00,605,977,2.6175496688741724,30,1,1.0,57316,30000,2880,23.763919807883,11.228457577263098,13.366622774672708,7.75997679023432,0.47250023009833503,True,1.0,1.0,0,0,,75.28342229803093
10,2020-12-31 23:00:00+00:00,2025-05-30 23:45:00+00:00,2025-06-01 00:00:00+00:00,2025-06-30 23:45:00+00:00,635,977,2.5410094637223977,30,1,1.0,60196,30000,2784,22.996323011368943,11.413702741530747,13.038303414060294,8.133461451644674,0.4963272926670942,True,0.3,1.0,0,0,,76.08264293998946
