feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
ida1_price_eur_mwh_rolling_mean_7d_same_local_qh,1.0,0.8888888888888888,18.0,16.0,0.20933052814100583,0.20150121535492038,0.27003115016338924,1.0555555555555556,1.0,True,True,kept,81408,0.9860942875139299,78156,ida1_history,market_history,ida1_price_eur_mwh,True,kept,ida1_price_eur_mwh_lag_1d_same_local_qh,0.8189114187133436,0.7504586576838356,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,True
da_price_eur_mwh,1.0,0.8888888888888888,18.0,16.0,0.1550472234480197,0.15323142682861618,0.17737893920484502,2.388888888888889,2.0,True,True,kept,82556,1.0,12631,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.924131010271927,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
ida1_price_eur_mwh_lag_1d_same_local_qh,1.0,0.8888888888888888,18.0,16.0,0.14517087651191432,0.14934031262174408,0.16141525544137064,2.888888888888889,2.0,True,True,kept,77268,0.9359465090362905,51928,ida1_history,market_history,ida1_price_eur_mwh,True,kept,da_price_eur_mwh,0.7477750833410122,0.7558438954401016,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,True
ida1_price_eur_mwh_rolling_median_3d_same_local_qh,0.9444444444444444,0.8888888888888888,17.0,16.0,0.10873503628597643,0.10952398092300457,0.14118473023054415,4.166666666666667,3.0,True,True,kept,76896,0.9314404767672853,38707,ida1_history,market_history,ida1_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_mean_7d_same_local_qh,0.9066714837935864,0.7280708788149781,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,True
da_price_eur_mwh_rolling_median_14d_same_local_qh,0.7777777777777778,0.7222222222222222,14.0,13.0,0.08116522102176127,0.06968554417796674,0.28982952034685633,4.944444444444445,1.0,True,True,kept,82076,0.9941857648141867,12630,da_price,market_history,da_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_median_28d_same_local_qh,0.9158049651811826,0.7147986667704529,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
ida1_price_eur_mwh_rolling_median_28d_same_local_qh,0.3333333333333333,0.3333333333333333,6.0,6.0,0.04466390389837341,0.03885809291103778,0.17693212624381516,6.444444444444445,2.0,False,True,kept,81500,0.9872086825912109,31052,ida1_history,market_history,ida1_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_mean_7d_same_local_qh,0.8925076405253151,0.7165029854366023,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,True
load_forecast_da_mw_lag_7d_same_local_qh,0.0,0.0,0.0,0.0,0.010033268891294474,0.007763511696948654,0.021693750277617083,16.555555555555557,7.0,False,True,kept,80911,0.9800741314986191,80170,da_forecast,forecast_level,load_forecast_da_mw,True,kept,residual_load_forecast_da_mw_lag_7d_same_local_qh,0.39228599307772266,0.22193219447388524,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,True
residual_load_forecast_da_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.009403028119476124,0.005884279407883714,0.032259748387102154,25.055555555555557,7.0,False,True,kept,82443,0.9986312321333398,82141,da_forecast,forecast_level,residual_load_forecast_da_mw,True,kept,solar_forecast_da_mw_lag_1d_same_local_qh,0.5275404150859898,0.4326125678846173,da_forecast,forecast_level,residual_load_forecast_da_mw,da_forecast,forecast_level,residual_load_forecast_da_mw,True
ida1_price_eur_mwh_lag_7d_same_local_qh,0.2777777777777778,0.2222222222222222,5.0,4.0,0.03475615883616416,0.03377864918032594,0.05215120669624569,6.722222222222222,5.0,False,True,kept,74772,0.9057124860700615,51078,ida1_history,market_history,ida1_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_mean_7d_same_local_qh,0.8226919688838382,0.6661272015312033,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,False
ida1_price_eur_mwh_lag_14d_same_local_qh,0.1111111111111111,0.1111111111111111,2.0,2.0,0.009694357878932296,0.008227425666861635,0.03577765509025509,68.88888888888889,6.0,False,True,kept,72948,0.8836183923639711,50174,ida1_history,market_history,ida1_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_median_28d_same_local_qh,0.7929224511654606,0.6414716264177043,ida1_history,market_history,ida1_price_eur_mwh,ida1_history,market_history,ida1_price_eur_mwh,False
