fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2020-12-31 23:00:00+00:00,2021-12-30 23:45:00+00:00,2024-09-03 22:00:00+00:00,2024-10-02 23:45:00+00:00,365,1,1.0,30,1,1.0,34948,2792,24.8947277047958,21.147999035505418,15.407545097498105,14.050508037342246,0.8494971018072793,True,5.995418663020246
2,2020-12-31 23:00:00+00:00,2024-10-01 23:45:00+00:00,2024-10-03 00:00:00+00:00,2024-11-01 23:45:00+00:00,395,977,3.4771573604060912,30,1,1.0,37736,2872,24.733900889493295,35.281664586561014,15.373413978332236,19.48932477526657,1.4264496629218846,True,5.14255732903257
3,2020-12-31 23:00:00+00:00,2024-10-31 23:45:00+00:00,2024-11-02 00:00:00+00:00,2024-12-01 23:45:00+00:00,425,977,3.30188679245283,30,1,1.0,40608,2688,25.585513767820572,37.146714482062634,15.621748463945696,14.588119452671105,1.4518650991008366,True,6.011344668979291
4,2020-12-31 23:00:00+00:00,2024-11-30 23:45:00+00:00,2024-12-02 00:00:00+00:00,2024-12-31 23:45:00+00:00,455,977,3.149779735682819,30,1,1.0,43296,2784,26.062317713403292,50.66408522551156,15.476471515073458,20.160324841563472,1.9439593125463324,False,5.365563171973918
5,2020-12-31 23:00:00+00:00,2024-12-30 23:45:00+00:00,2025-01-01 00:00:00+00:00,2025-01-30 23:45:00+00:00,485,977,3.0165289256198347,30,1,1.0,46080,2880,26.62926727547107,26.276808109897626,15.567152770727562,14.711729406406484,0.9867642184094902,True,4.742119527014438
6,2020-12-31 23:00:00+00:00,2025-01-29 23:45:00+00:00,2025-01-31 00:00:00+00:00,2025-03-01 23:45:00+00:00,515,977,2.8988326848249026,30,1,1.0,48960,2784,26.559676416591657,13.509419402868165,15.456784174557127,10.00710591897197,0.5086439755880805,True,5.909344925021287
7,2020-12-31 23:00:00+00:00,2025-02-28 23:45:00+00:00,2025-03-02 00:00:00+00:00,2025-04-01 23:45:00+00:00,545,977,2.7941176470588234,30,2,1.0344827586206897,51744,2788,26.039197859121536,15.091134567101538,15.145262949882246,10.726422092881016,0.5795545104249481,True,8.24287259398261
8,2020-12-31 23:00:00+00:00,2025-03-31 23:45:00+00:00,2025-04-02 00:00:00+00:00,2025-05-01 23:45:00+00:00,575,977,2.702090592334495,30,1,1.0,54532,2784,25.572659295947958,23.616058021983665,14.855724102249523,12.736974821111682,0.9234885487926427,True,8.069321226968896
9,2020-12-31 23:00:00+00:00,2025-04-30 23:45:00+00:00,2025-05-02 00:00:00+00:00,2025-05-31 23:45:00+00:00,605,977,2.6175496688741724,30,1,1.0,57316,2880,25.31072115817273,20.939563764627103,14.65763246913898,11.046575811414824,0.8273001639807407,True,5.634373200999107
10,2020-12-31 23:00:00+00:00,2025-05-30 23:45:00+00:00,2025-06-01 00:00:00+00:00,2025-06-30 23:45:00+00:00,635,977,2.5410094637223977,30,1,1.0,60196,2784,25.081166260450537,15.835754314867385,14.504913476129655,11.391833897157808,0.6313803014749811,True,7.650840329006314
11,2020-12-31 23:00:00+00:00,2025-06-29 23:45:00+00:00,2025-07-01 00:00:00+00:00,2025-08-03 23:45:00+00:00,665,977,2.4713855421686746,30,4,1.1379310344827587,62980,2592,24.71301345593357,17.62236284123336,14.356225582906964,8.970777580641487,0.7130802915903504,True,8.81990024499828
12,2020-12-31 23:00:00+00:00,2025-08-02 23:45:00+00:00,2025-08-04 00:00:00+00:00,2025-09-02 23:45:00+00:00,695,977,2.413544668587896,30,1,1.0,65572,2880,24.4664106009103,11.74119852746751,14.134928814542537,7.750079862328104,0.4798905208854243,True,9.670196516031865
13,2020-12-31 23:00:00+00:00,2025-09-01 23:45:00+00:00,2025-09-03 00:00:00+00:00,2025-11-20 23:45:00+00:00,725,977,2.3549723756906076,30,50,2.689655172413793,68452,2780,24.137326586809195,17.580461810543735,13.870270647752484,11.138256937712606,0.7283516568131981,True,7.750118225987535
14,2020-12-31 23:00:00+00:00,2025-11-19 23:45:00+00:00,2025-11-21 00:00:00+00:00,2025-12-24 23:45:00+00:00,755,977,2.3660477453580904,30,3,1.1379310344827587,71232,2208,23.942135369818455,15.877153408807441,13.74202322245305,10.113038464663685,0.6631469233451182,True,14.128983200993389
