fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2020-12-31 23:00:00+00:00,2021-12-30 23:45:00+00:00,2024-09-03 22:00:00+00:00,2024-10-02 23:45:00+00:00,365,1,1.0,30,1,1.0,34948,30000,2792,24.50738426800517,18.71695028147236,15.037347464585999,11.515374498772415,0.7637269680350047,True,1.0,0.7,0,4,ida1_volume_mw_lag_7d_same_local_qh|ida1_volume_mw_lag_2d_same_local_qh|ida1_volume_mw_lag_14d_same_local_qh|ida1_volume_mw_lag_1d_same_local_qh,70.85966411995469
2,2020-12-31 23:00:00+00:00,2024-10-01 23:45:00+00:00,2024-10-03 00:00:00+00:00,2024-11-01 23:45:00+00:00,395,977,3.4771573604060912,30,1,1.0,37736,30000,2872,25.00529715400726,34.63020199059449,15.136487566718378,17.018513260076933,1.3849146353793593,True,3.0,1.0,0,0,,97.57237643701956
3,2020-12-31 23:00:00+00:00,2024-10-31 23:45:00+00:00,2024-11-02 00:00:00+00:00,2024-12-01 23:45:00+00:00,425,977,3.30188679245283,30,1,1.0,40608,30000,2688,25.308867833471904,25.522827982134462,14.933000171698009,11.682842028752978,1.0084539596978568,True,1.0,1.0,0,0,,123.60613818099955
4,2020-12-31 23:00:00+00:00,2024-11-30 23:45:00+00:00,2024-12-02 00:00:00+00:00,2024-12-31 23:45:00+00:00,455,977,3.149779735682819,30,1,1.0,43296,30000,2784,25.57959027579791,29.270588863137156,14.89285514025149,11.151228391617018,1.144294671945214,True,3.0,1.0,0,0,,81.32595374900848
5,2020-12-31 23:00:00+00:00,2024-12-30 23:45:00+00:00,2025-01-01 00:00:00+00:00,2025-01-30 23:45:00+00:00,485,977,3.0165289256198347,30,1,1.0,46080,30000,2880,24.97840855877257,22.011788006202263,14.419104814666097,10.300205345860213,0.8812326035267602,True,1.0,1.0,0,0,,92.39982468099333
6,2020-12-31 23:00:00+00:00,2025-01-29 23:45:00+00:00,2025-01-31 00:00:00+00:00,2025-03-01 23:45:00+00:00,515,977,2.8988326848249026,30,1,1.0,48960,30000,2784,25.121606342066215,10.375059201759989,14.349667813579913,7.123546281837863,0.412993463096622,True,1.0,1.0,0,0,,122.1182134259725
7,2020-12-31 23:00:00+00:00,2025-02-28 23:45:00+00:00,2025-03-02 00:00:00+00:00,2025-04-01 23:45:00+00:00,545,977,2.7941176470588234,30,2,1.0344827586206897,51744,30000,2788,24.841937926600067,12.387152008378331,13.935194466771351,8.170840880612674,0.49863871510259705,True,1.0,0.9,0,0,,122.66402712796116
8,2020-12-31 23:00:00+00:00,2025-03-31 23:45:00+00:00,2025-04-02 00:00:00+00:00,2025-05-01 23:45:00+00:00,575,977,2.702090592334495,30,1,1.0,54532,30000,2784,24.298284813976775,14.237778867141683,13.569099411263197,9.084193033739865,0.5859581849559965,True,0.3,0.9,0,0,,116.11178264504997
9,2020-12-31 23:00:00+00:00,2025-04-30 23:45:00+00:00,2025-05-02 00:00:00+00:00,2025-05-31 23:45:00+00:00,605,977,2.6175496688741724,30,1,1.0,57316,30000,2880,23.693616820498555,11.230023831674382,13.350341672524161,7.778025669338361,0.47396832306153935,True,1.0,1.0,0,0,,82.45625247998396
10,2020-12-31 23:00:00+00:00,2025-05-30 23:45:00+00:00,2025-06-01 00:00:00+00:00,2025-06-30 23:45:00+00:00,635,977,2.5410094637223977,30,1,1.0,60196,30000,2784,22.940249169425325,11.328223022314717,12.985550720797779,8.124037204213915,0.49381429724891257,True,0.3,1.0,0,0,,105.7167808850063
