timestamp_utc,timestamp_local,date_local,hour_local,hour_local,minute_local,quarter_hour_local,quarter_hour_local,weekday_local,weekday_local,month_local,month_local,ida1_minus_da_spread_eur_mwh_lag_1d_same_local_qh,ida1_minus_da_spread_eur_mwh_lag_7d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_mean_7d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_median_14d_same_local_qh,ida1_minus_da_spread_eur_mwh
2026-05-08 12:00:00+00:00,2026-05-08 14:00:00+02:00,2026-05-08,14,14,0,0,0,4,4,5,5,,,19.89,12.0,-20.962222222222223,8.579999999999998,21.28
2026-05-08 12:15:00+00:00,2026-05-08 14:15:00+02:00,2026-05-08,14,14,15,1,1,4,4,5,5,,,20.819999999999997,16.455,-12.315555555555552,11.600000000000001,23.39
2026-05-08 12:30:00+00:00,2026-05-08 14:30:00+02:00,2026-05-08,14,14,30,2,2,4,4,5,5,,,23.859999999999978,20.415,-3.8299999999999974,12.420000000000002,29.409999999999997
2026-05-08 12:45:00+00:00,2026-05-08 14:45:00+02:00,2026-05-08,14,14,45,3,3,4,4,5,5,,,27.702500000000008,26.14,3.772222222222225,14.190000000000001,24.25
2026-05-08 13:00:00+00:00,2026-05-08 15:00:00+02:00,2026-05-08,15,15,0,0,0,4,4,5,5,,,3.9524999999999917,1.9399999999999995,-22.778888888888886,0.46999999999999886,11.099999999999994
2026-05-08 13:15:00+00:00,2026-05-08 15:15:00+02:00,2026-05-08,15,15,15,1,1,4,4,5,5,,,7.439999999999999,5.639999999999998,-14.116666666666665,5.16,16.569999999999993
2026-05-08 13:30:00+00:00,2026-05-08 15:30:00+02:00,2026-05-08,15,15,30,2,2,4,4,5,5,,,13.927499999999997,14.53,1.1722222222222232,7.959999999999999,23.5
2026-05-08 13:45:00+00:00,2026-05-08 15:45:00+02:00,2026-05-08,15,15,45,3,3,4,4,5,5,,,17.272499999999994,19.595,17.271111111111107,19.05,23.200000000000003
2026-05-08 14:00:00+00:00,2026-05-08 16:00:00+02:00,2026-05-08,16,16,0,0,0,4,4,5,5,,,-4.452500000000015,-5.970000000000004,-15.75111111111111,-4.83,-0.980000000000004
2026-05-08 14:15:00+00:00,2026-05-08 16:15:00+02:00,2026-05-08,16,16,15,1,1,4,4,5,5,,,-0.6949999999999772,-0.0649999999999995,-3.1888888888888913,0.42,-2.1499999999999915
2026-05-08 14:30:00+00:00,2026-05-08 16:30:00+02:00,2026-05-08,16,16,30,2,2,4,4,5,5,,,9.254999999999997,7.654999999999998,8.974444444444439,9.6,3.990000000000009
2026-05-08 14:45:00+00:00,2026-05-08 16:45:00+02:00,2026-05-08,16,16,45,3,3,4,4,5,5,,,23.2175,18.165,19.56888888888889,11.559999999999999,12.540000000000006
2026-05-08 15:00:00+00:00,2026-05-08 17:00:00+02:00,2026-05-08,17,17,0,0,0,4,4,5,5,,,-24.96750000000001,-27.130000000000003,-28.238888888888887,-27.28,-15.129999999999995
2026-05-08 15:15:00+00:00,2026-05-08 17:15:00+02:00,2026-05-08,17,17,15,1,1,4,4,5,5,,,-7.587500000000026,-8.425000000000004,-13.118888888888893,-16.34,-11.420000000000002
2026-05-08 15:30:00+00:00,2026-05-08 17:30:00+02:00,2026-05-08,17,17,30,2,2,4,4,5,5,,,10.160000000000007,4.22999999999999,6.266666666666669,2.6999999999999886,-1.6299999999999955
2026-05-08 15:45:00+00:00,2026-05-08 17:45:00+02:00,2026-05-08,17,17,45,3,3,4,4,5,5,,,36.5775,34.80499999999999,38.82222222222222,43.629999999999995,13.510000000000005
2026-05-08 16:00:00+00:00,2026-05-08 18:00:00+02:00,2026-05-08,18,18,0,0,0,4,4,5,5,,,-30.967499999999987,-26.819999999999993,-33.249999999999986,-28.549999999999997,-23.64
2026-05-08 16:15:00+00:00,2026-05-08 18:15:00+02:00,2026-05-08,18,18,15,1,1,4,4,5,5,,,-8.647499999999994,-11.22999999999999,-8.287777777777777,-8.900000000000006,-0.9099999999999966
2026-05-08 16:30:00+00:00,2026-05-08 18:30:00+02:00,2026-05-08,18,18,30,2,2,4,4,5,5,,,12.015000000000008,11.714999999999996,12.093333333333334,14.099999999999994,2.9799999999999898
2026-05-08 16:45:00+00:00,2026-05-08 18:45:00+02:00,2026-05-08,18,18,45,3,3,4,4,5,5,,,30.987499999999976,31.534999999999997,26.376666666666654,26.11,11.960000000000008
2026-05-08 17:00:00+00:00,2026-05-08 19:00:00+02:00,2026-05-08,19,19,0,0,0,4,4,5,5,,,-27.99750000000001,-27.970000000000006,-28.75111111111111,-21.789999999999992,-20.02000000000001
2026-05-08 17:15:00+00:00,2026-05-08 19:15:00+02:00,2026-05-08,19,19,15,1,1,4,4,5,5,,,-16.822500000000016,-16.055000000000007,-15.318888888888896,-15.579999999999998,-12.410000000000025
2026-05-08 17:30:00+00:00,2026-05-08 19:30:00+02:00,2026-05-08,19,19,30,2,2,4,4,5,5,,,15.392499999999991,7.164999999999992,5.565555555555548,3.1399999999999864,-2.2900000000000205
