fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2020-12-31 23:00:00+00:00,2021-12-30 23:45:00+00:00,2024-09-03 22:00:00+00:00,2024-10-02 23:45:00+00:00,365,1,1.0,30,1,1.0,34948,2792,23.732547852478728,18.822998539675684,14.543777649535345,11.670566125785916,0.7931301205702501,True,4.481301316001918
2,2020-12-31 23:00:00+00:00,2024-10-01 23:45:00+00:00,2024-10-03 00:00:00+00:00,2024-11-01 23:45:00+00:00,395,977,3.4771573604060912,30,1,1.0,37736,2872,23.37072829282278,34.93527239485347,14.312488757108472,16.950580491890047,1.4948302832985396,True,4.926408544008154
3,2020-12-31 23:00:00+00:00,2024-10-31 23:45:00+00:00,2024-11-02 00:00:00+00:00,2024-12-01 23:45:00+00:00,425,977,3.30188679245283,30,1,1.0,40608,2688,24.197846081398396,26.128560645253966,14.503074451299051,11.790204163002866,1.0797886951326534,True,7.323740636988077
4,2020-12-31 23:00:00+00:00,2024-11-30 23:45:00+00:00,2024-12-02 00:00:00+00:00,2024-12-31 23:45:00+00:00,455,977,3.149779735682819,30,1,1.0,43296,2784,24.291821854375637,31.108901148473883,14.33326025672195,12.1086248715535,1.280632689263292,True,5.904655561957043
5,2020-12-31 23:00:00+00:00,2024-12-30 23:45:00+00:00,2025-01-01 00:00:00+00:00,2025-01-30 23:45:00+00:00,485,977,3.0165289256198347,30,1,1.0,46080,2880,24.614292016541487,21.98952917960508,14.218034200022318,10.659867520512599,0.8933642765279418,True,6.968239055015147
6,2020-12-31 23:00:00+00:00,2025-01-29 23:45:00+00:00,2025-01-31 00:00:00+00:00,2025-03-01 23:45:00+00:00,515,977,2.8988326848249026,30,1,1.0,48960,2784,24.55187150053298,10.558576369351032,14.013630179165835,7.328646504191994,0.4300517933682499,True,6.806065758981276
7,2020-12-31 23:00:00+00:00,2025-02-28 23:45:00+00:00,2025-03-02 00:00:00+00:00,2025-04-01 23:45:00+00:00,545,977,2.7941176470588234,30,2,1.0344827586206897,51744,2788,24.00172305654675,12.344636560379023,13.650834614642406,8.173074972290502,0.5143229313702076,True,5.112119359022472
8,2020-12-31 23:00:00+00:00,2025-03-31 23:45:00+00:00,2025-04-02 00:00:00+00:00,2025-05-01 23:45:00+00:00,575,977,2.702090592334495,30,1,1.0,54532,2784,23.560859724859156,14.416954910918838,13.368554049814406,9.161815319747848,0.6119027522458126,True,8.880031445994973
9,2020-12-31 23:00:00+00:00,2025-04-30 23:45:00+00:00,2025-05-02 00:00:00+00:00,2025-05-31 23:45:00+00:00,605,977,2.6175496688741724,30,1,1.0,57316,2880,23.20514772619379,11.207039560250479,13.149961242826238,7.8296715827346,0.48295488968596656,True,5.806798637029715
10,2020-12-31 23:00:00+00:00,2025-05-30 23:45:00+00:00,2025-06-01 00:00:00+00:00,2025-06-30 23:45:00+00:00,635,977,2.5410094637223977,30,1,1.0,60196,2784,22.79618195949713,11.326875775115369,12.92368482479641,8.060358405906564,0.49687600297454515,True,11.023742396966554
11,2020-12-31 23:00:00+00:00,2025-06-29 23:45:00+00:00,2025-07-01 00:00:00+00:00,2025-08-03 23:45:00+00:00,665,977,2.4713855421686746,30,4,1.1379310344827587,62980,2592,22.40471328119859,14.564801201337499,12.69545872449329,7.029661835362489,0.6500775537065173,True,6.200315802008845
12,2020-12-31 23:00:00+00:00,2025-08-02 23:45:00+00:00,2025-08-04 00:00:00+00:00,2025-09-02 23:45:00+00:00,695,977,2.413544668587896,30,1,1.0,65572,2880,22.191619275043283,9.845385964926619,12.47897977556288,6.336756012569117,0.4436533379066551,True,11.797693979984615
13,2020-12-31 23:00:00+00:00,2025-09-01 23:45:00+00:00,2025-09-03 00:00:00+00:00,2025-11-20 23:45:00+00:00,725,977,2.3549723756906076,30,50,2.689655172413793,68452,2780,21.81866873049552,13.973159367562833,12.223954418362029,8.213541695624992,0.640422178830408,True,7.223243760003243
14,2020-12-31 23:00:00+00:00,2025-11-19 23:45:00+00:00,2025-11-21 00:00:00+00:00,2025-12-24 23:45:00+00:00,755,977,2.3660477453580904,30,3,1.1379310344827587,71232,2208,21.58207749424309,10.898743873732926,12.078314043974796,6.9137623683772,0.5049904892909457,True,16.237511189014185
15,2020-12-31 23:00:00+00:00,2025-12-23 23:45:00+00:00,2025-12-25 00:00:00+00:00,2026-01-27 23:45:00+00:00,785,977,2.318877551020408,30,2,1.1379310344827587,73440,2112,21.336633141231996,9.471074693227356,11.914496082311508,6.094037676380395,0.44388796632234206,True,17.248563922999892
16,2020-12-31 23:00:00+00:00,2026-01-25 22:45:00+00:00,2026-01-28 00:00:00+00:00,2026-03-04 22:45:00+00:00,815,977,2.273955773955774,30,3,1.206896551724138,75644,2204,21.103381741502055,11.791785215006005,11.747866935977974,6.58532276677561,0.5587628257615318,True,13.92011792701669
17,2020-12-31 23:00:00+00:00,2026-03-03 23:45:00+00:00,2026-03-06 23:00:00+00:00,2026-04-11 21:45:00+00:00,845,977,2.2369668246445498,30,4,1.2413793103448276,77760,1920,20.867110386502166,12.403085412089974,11.58767012598181,8.68974557315797,0.5943844251723935,True,15.669789973995648
18,2020-12-31 23:00:00+00:00,2026-04-10 23:45:00+00:00,2026-04-13 22:00:00+00:00,2026-05-29 23:45:00+00:00,875,977,2.203661327231121,30,14,1.5862068965517242,79684,1928,20.731586283208156,20.54287533799429,11.529561248022562,8.92466967015846,0.9908974189125742,True,23.522522034007125
