feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
da_price_eur_mwh,1.0,1.0,8.0,8.0,56.052475819886446,58.59141512822275,64.25517583582939,0.0,1.0,True,True,kept,39445,1.0,8079,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.9026369820498312,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,1.0,1.0,8.0,8.0,5.8853975030897,6.029590949132326,7.03082477110005,0.0,1.0,True,True,kept,36757,0.9318544809228039,36263,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_price_eur_mwh_rolling_median_14d_same_local_qh,0.3474896626549488,0.26194446412403266,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_rolling_mean_7d_same_local_qh,1.0,1.0,8.0,8.0,3.8561225819543443,3.874906057752282,5.211518899274148,0.0,1.0,True,True,kept,37717,0.9561921663075168,35527,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,0.8986152390964505,0.23582808867572372,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_1d_same_local_qh,1.0,1.0,8.0,8.0,2.886836598163011,2.989195879927244,3.325205242268561,0.0,1.0,True,True,kept,37418,0.9486119913804031,18133,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,0.8109001886429538,0.225733726726148,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_7d_same_local_qh,1.0,1.0,8.0,8.0,1.349350227693276,1.2659683476544639,2.4604627534484638,0.0,1.0,True,True,kept,35498,0.8999366206109773,17648,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_7d_same_local_qh,0.7508020155843106,0.17032604744430732,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
da_price_eur_mwh_rolling_std_14d_same_local_qh,0.875,0.875,7.0,7.0,0.3533052089171723,0.40919866612703837,0.5275838110386142,0.0,1.0,True,True,kept,39445,1.0,38916,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_rolling_std_14d_same_local_qh,0.8456628183763167,0.04588580174507234,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
wind_offshore_id_forecast_error_mw_lag_1d_same_local_qh,0.75,0.75,6.0,6.0,0.5657051766701291,0.40017324432551143,1.4525948610186805,0.0,1.0,True,True,kept,36548,0.926555964000507,35685,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,kept,wind_offshore_da_forecast_error_mw_lag_1d_same_local_qh,0.8018514923021068,0.11296424627868577,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_14d_same_local_qh,1.0,1.0,8.0,8.0,0.9336401264336114,1.065087706473443,1.364666862962862,0.0,1.0,True,True,kept,34922,0.8853340093801496,17497,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,0.7161409632311888,0.20422162488511378,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,False,elasticnet_coefficients
da_price_eur_mwh_rolling_mean_7d_same_local_qh,0.625,0.625,5.0,5.0,0.7991299635233616,0.22596183071081416,2.2685166397390746,0.0,1.0,False,True,kept,39445,1.0,19358,da_price,market_history,da_price_eur_mwh,True,kept,da_price_eur_mwh_rolling_mean_3d_same_local_qh,0.8959770285426866,0.6434024521737326,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False,elasticnet_coefficients
residual_load_revision_id_minus_da_approx_mw_rolling_median_7d_same_local_qh,0.625,0.625,5.0,5.0,0.30865457603684476,0.06410248119492047,1.1133274758062748,0.0,1.0,False,True,kept,39445,1.0,17294,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_mean_7d_same_local_qh,0.8157034959247117,0.12525605444377128,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,False,elasticnet_coefficients
da_price_eur_mwh_lag_1d_same_local_qh,0.5,0.5,4.0,4.0,0.6797438011924405,0.6175105509862516,1.5120606891520996,0.0,0.5,False,True,kept,39433,0.9996957789326911,8126,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.9023972735500224,0.6647836978384374,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False,elasticnet_coefficients
renewable_total_forecast_da_mw,0.5,0.5,4.0,4.0,0.7433417269640274,0.29594625950730785,3.5745896068914553,0.0,0.5,False,True,kept,39445,1.0,39333,da_forecast,forecast_level,renewable_total_forecast_da_mw,True,kept,residual_load_forecast_da_mw,0.8007915719368038,0.6605561462655384,da_forecast,forecast_level,renewable_total_forecast_da_mw,da_forecast,forecast_level,renewable_total_forecast_da_mw,False,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_rolling_std_7d_same_local_qh,0.5,0.5,4.0,4.0,0.440106121027798,0.27522764255312304,1.072388712343449,0.0,1.0,False,True,kept,37717,0.9561921663075168,37712,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_std_14d_same_local_qh,0.7388758653177102,0.11364644509125153,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,False,elasticnet_coefficients
renewable_total_forecast_da_mw_lag_14d_same_local_qh,0.5,0.5,4.0,4.0,0.28072902360095,0.0633081368883562,1.0165471129667265,0.0,1.0,False,True,kept,37617,0.9536569907466093,37511,da_forecast,forecast_level,renewable_total_forecast_da_mw,True,kept,residual_load_forecast_da_mw_lag_14d_same_local_qh,0.7995093995560855,0.36002193031165913,da_forecast,forecast_level,renewable_total_forecast_da_mw,da_forecast,forecast_level,renewable_total_forecast_da_mw,False,elasticnet_coefficients
solar_da_forecast_error_mw_lag_1d_same_local_qh,0.5,0.5,4.0,4.0,0.16528617977362275,0.052223207256981444,0.5444057847993522,0.0,1.0,False,True,kept,21229,0.5381924198250729,20915,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,True,kept,solar_id_forecast_error_mw_lag_1d_same_local_qh,0.8689478398522197,0.111582054218045,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,False,elasticnet_coefficients
load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.5,0.5,4.0,4.0,0.24527874577987716,0.051685487479284475,1.4328902663892418,0.0,1.0,False,True,kept,37141,0.9415895550766891,37126,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_median_7d_same_local_qh,0.8725047098321542,0.3966358961444349,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False,elasticnet_coefficients
solar_id_forecast_error_mw_lag_1d_same_local_qh,0.5,0.5,4.0,4.0,0.1455326983083306,0.05164157240345872,0.49427098256814067,0.0,1.0,False,True,kept,21424,0.5431360121688427,21027,lagged_forecast_error,lagged_forecast_error,solar_id_forecast_error_mw,True,kept,solar_id_forecast_error_mw_rolling_mean_3d_same_local_qh,0.7205362163442165,0.16027670140934094,lagged_forecast_error,lagged_forecast_error,solar_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_id_forecast_error_mw,False,elasticnet_coefficients
load_da_forecast_error_mw_rolling_median_7d_same_local_qh,0.5,0.5,4.0,4.0,0.14753888818499816,0.039741328997129045,0.6084138875846724,0.0,1.0,False,True,kept,38485,0.9756623146152871,19669,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_mean_14d_same_local_qh,0.9108627828595798,0.4350919023994684,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False,elasticnet_coefficients
renewable_total_forecast_da_mw_lag_2d_same_local_qh,0.5,0.5,4.0,4.0,0.2186723359216744,0.01099563792892607,0.6272767461965496,0.0,1.0,False,True,kept,39441,0.9998985929775637,39326,da_forecast,forecast_level,renewable_total_forecast_da_mw,True,kept,residual_load_forecast_da_mw_lag_2d_same_local_qh,0.797083485599527,0.4156255898819771,da_forecast,forecast_level,renewable_total_forecast_da_mw,da_forecast,forecast_level,renewable_total_forecast_da_mw,False,elasticnet_coefficients
wind_onshore_da_forecast_error_mw_rolling_std_14d_same_local_qh,0.5,0.5,4.0,4.0,0.2391802310282461,0.00023657636956586053,1.0153754178188903,0.0,1.0,False,True,kept,38581,0.9780960831537584,38580,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_std_28d_same_local_qh,0.7537650203336105,0.08040441490641707,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,False,elasticnet_coefficients
da_price_eur_mwh_lag_14d_same_local_qh,0.375,0.375,3.0,3.0,0.035978269763724396,0.0,0.13150999569772595,0.0,1.0,False,True,kept,37606,0.9533781214349094,8020,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_14d_same_local_qh,0.901032367743636,0.5700638629411388,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False,elasticnet_coefficients
da_price_eur_mwh_rolling_median_28d_same_local_qh,0.375,0.375,3.0,3.0,0.07618669104523845,0.0,0.360801672337026,0.0,1.0,False,True,kept,39445,1.0,6307,da_price,market_history,da_price_eur_mwh,True,kept,da_price_eur_mwh_rolling_mean_7d_same_local_qh,0.8389480468599958,0.5819895821885147,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False,elasticnet_coefficients
ida2_price_eur_mwh_regime_vol_7d_over_28d,0.375,0.375,3.0,3.0,0.3958079764078472,0.0,1.2140663290414428,0.0,1.0,False,True,kept,36565,0.9269869438458613,36565,regime_volatility,regime,ida2_price_eur_mwh,True,kept,ida2_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.1242514842535472,0.08110194401596026,regime_volatility,regime,ida2_price_eur_mwh,regime_volatility,regime,ida2_price_eur_mwh,False,elasticnet_coefficients
