timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida2_price_eur_mwh,da_price_eur_mwh,ida2_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,ida2_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,wind_onshore_id_forecast_error_mw_lag_2d_same_local_qh,load_da_forecast_error_mw_lag_2d_same_local_qh,ida2_minus_da_spread_eur_mwh_lag_1d_same_local_qh,residual_load_forecast_da_mw,wind_onshore_da_forecast_error_mw_rolling_median_3d_same_local_qh,da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,renewable_total_forecast_id_mw_lag_14d_same_local_qh,wind_onshore_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,weekday_sin,da_price_eur_mwh_lag_1d_same_local_qh,wind_total_forecast_da_mw,renewable_total_forecast_da_mw,da_price_eur_mwh_rolling_std_3d_same_local_qh,ida2_minus_da_spread_eur_mwh
2026-05-16 12:00:00+00:00,2026-05-16 14:00:00+02:00,2026-05-16,14,0,0,5,5,-0.03,-2.06,,,,,,,,-3583.2377570000026,1843.900950000001,0.5120305799309766,52317.703981,860.0674100000006,-0.9749279121818236,43.11,17047.32007,52885.065950000004,32.96026749486784,2.0300000000000002
2026-05-16 12:15:00+00:00,2026-05-16 14:15:00+02:00,2026-05-16,14,15,1,5,5,0.0,-2.02,,,,,,,,-3722.1347749999986,1802.322180000001,0.4516868542131635,51689.22147,898.6879500000005,-0.9749279121818236,43.11,17154.45136,52669.97372,33.74824588034165,2.02
2026-05-16 12:30:00+00:00,2026-05-16 14:30:00+02:00,2026-05-16,14,30,2,5,5,-0.07,0.0,,,,,,,,-3906.8905749999976,1535.3032700000003,0.4205348442010795,50911.064229999996,929.2086300000001,-0.9749279121818236,43.11,17235.585590000002,52383.48001,32.626477488894324,-0.07
2026-05-16 12:45:00+00:00,2026-05-16 14:45:00+02:00,2026-05-16,14,45,3,5,5,-0.3,2.72,,,,,,,,-3557.685584000006,1622.76276,0.4390749485642846,49911.06154,958.6469500000003,-0.9749279121818236,43.11,17319.33508,51964.254100000006,30.784348295846087,-3.02
2026-05-16 13:00:00+00:00,2026-05-16 15:00:00+02:00,2026-05-16,15,0,0,5,5,-0.81,-1.6,,,,,,,,-3327.559177000003,1761.7380599999992,0.45225692325818667,48862.654259999996,992.7385899999999,-0.9749279121818236,53.75,17343.39729,51409.54002,39.94377590230364,0.79
2026-05-16 13:15:00+00:00,2026-05-16 15:15:00+02:00,2026-05-16,15,15,1,5,5,-0.82,-1.05,,,,,,,,-3001.6499209999965,1404.8506600000005,0.44267236442186336,47785.289639999995,1030.9944400000004,-0.9749279121818236,53.75,17388.49407,50740.95667,39.22798278440206,0.2300000000000001
2026-05-16 13:30:00+00:00,2026-05-16 15:30:00+02:00,2026-05-16,15,30,2,5,5,-0.82,6.4,,,,,,,,-2705.5590840000004,1424.7334699999983,0.41678093762705043,46639.286889999996,1066.5255200000001,-0.9749279121818236,53.75,17451.94554,49986.77741,34.51813484725515,-7.220000000000001
2026-05-16 13:45:00+00:00,2026-05-16 15:45:00+02:00,2026-05-16,15,45,3,5,5,3.32,14.08,,,,,,,,-2157.9589290000004,1284.3362700000002,0.4460039011193076,45523.092710000004,1103.2935199999993,-0.9749279121818236,53.75,17526.89137,49094.04888,19.706761107127143,-10.76
2026-05-16 14:00:00+00:00,2026-05-16 16:00:00+02:00,2026-05-16,16,0,0,5,5,0.0,-7.57,,,,,,,,-984.2676479999936,1203.6974149999987,0.3958984277144405,45393.55347,1126.3007699999998,-0.9749279121818236,81.59,17582.00071,48045.31464,42.718785485232445,7.57
2026-05-16 14:15:00+00:00,2026-05-16 16:15:00+02:00,2026-05-16,16,15,1,5,5,0.0,7.3,,,,,,,,128.74196500000107,1279.3609150000016,0.43670396862298094,43697.94119,1117.7895899999994,-0.9749279121818236,81.59,17632.98416,46832.95606,17.988488911891658,-7.3
2026-05-16 14:30:00+00:00,2026-05-16 16:30:00+02:00,2026-05-16,16,30,2,5,5,6.0,0.25,,,,,,,,1514.2054290000015,1339.2113600000016,0.5042386188064273,41800.826,1097.7474900000007,-0.9749279121818236,81.59,17662.12398,45392.84843,5.365159208568213,5.75
2026-05-16 14:45:00+00:00,2026-05-16 16:45:00+02:00,2026-05-16,16,45,3,5,5,21.93,19.04,,,,,,,,2958.3208689999956,1462.1653900000006,0.49189874271870887,39675.959350000005,1077.2263900000007,-0.9749279121818236,81.59,17671.55915,43797.15587,12.065514217522928,2.8900000000000006
2026-05-16 15:00:00+00:00,2026-05-16 17:00:00+02:00,2026-05-16,17,0,0,5,5,15.93,6.31,,,,,,,,5375.067753000003,1308.143885,0.556250861740892,37461.14787,1063.3362100000004,-0.9749279121818236,107.53,17654.75135,42123.755999999994,27.276869932846168,9.620000000000001
2026-05-16 15:15:00+00:00,2026-05-16 17:15:00+02:00,2026-05-16,17,15,1,5,5,41.15,54.0,,,,,,,,7219.188337,893.4773949999994,0.5399835837313084,34964.749299999996,1026.6797799999995,-0.9749279121818236,107.53,17294.43119,40022.20354,11.206801506236925,-12.850000000000001
2026-05-16 15:30:00+00:00,2026-05-16 17:30:00+02:00,2026-05-16,17,30,2,5,5,83.2,86.33,,,,,,,,9352.594523,761.3630400000002,0.5343695055961217,32144.465799999998,988.9660199999998,-0.9749279121818236,107.53,17062.05767,37988.32227,9.475779651308262,-3.1299999999999955
2026-05-16 15:45:00+00:00,2026-05-16 17:45:00+02:00,2026-05-16,17,45,3,5,5,99.94,106.5,,,,,,,,12046.404692999997,760.58869,0.3936076883690172,29231.53234,951.1927900000001,-0.9749279121818236,107.53,16629.64577,35617.30266,2.248288237729258,-6.560000000000002
2026-05-16 16:00:00+00:00,2026-05-16 18:00:00+02:00,2026-05-16,18,0,0,5,5,74.64,71.46,,,,,,,,15198.997877999995,961.9978250000004,0.44891559610475584,26198.86031,907.1687199999997,-0.9749279121818236,126.02,16107.12961,33011.808560000005,14.251404609137598,3.180000000000007
2026-05-16 16:15:00+00:00,2026-05-16 18:15:00+02:00,2026-05-16,18,15,1,5,5,92.3,97.4,,,,,,,,18405.441194000003,1075.848845,0.30598216983580157,23021.01072,897.7376599999998,-0.9749279121818236,126.02,15476.27851,30139.06896,9.796398998273588,-5.1000000000000085
