timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida3_minus_da_spread_eur_mwh,da_price_eur_mwh,wind_offshore_forecast_da_mw,residual_load_forecast_id_approx_mw,month_sin,month_cos,wind_onshore_forecast_id_mw,ida3_price_eur_mwh
2026-05-08 12:00:00+00:00,2026-05-08 14:00:00+02:00,2026-05-08,14,0,0,4,5,21.179999999999993,50.92,1004.19,17416.321612000007,0.8660254037844387,-0.4999999999999998,3467.98281,72.1
2026-05-08 12:15:00+00:00,2026-05-08 14:15:00+02:00,2026-05-08,14,15,1,4,5,25.480000000000004,50.92,1006.94,17451.255815000004,0.8660254037844387,-0.4999999999999998,3661.26355,76.4
2026-05-08 12:30:00+00:00,2026-05-08 14:30:00+02:00,2026-05-08,14,30,2,4,5,30.129999999999995,50.92,1015.71,17927.644659000005,0.8660254037844387,-0.4999999999999998,3816.07183,81.05
2026-05-08 12:45:00+00:00,2026-05-08 14:45:00+02:00,2026-05-08,14,45,3,4,5,35.53999999999999,50.92,1064.53,18302.898240000002,0.8660254037844387,-0.4999999999999998,3946.29022,86.46
2026-05-08 13:00:00+00:00,2026-05-08 15:00:00+02:00,2026-05-08,15,0,0,4,5,8.179999999999993,73.31,1070.59,18999.58509600001,0.8660254037844387,-0.4999999999999998,4060.73094,81.49
2026-05-08 13:15:00+00:00,2026-05-08 15:15:00+02:00,2026-05-08,15,15,1,4,5,17.519999999999996,73.31,1072.69,19643.244113,0.8660254037844387,-0.4999999999999998,4164.59699,90.83
2026-05-08 13:30:00+00:00,2026-05-08 15:30:00+02:00,2026-05-08,15,30,2,4,5,25.049999999999997,73.31,1075.78,20510.858665,0.8660254037844387,-0.4999999999999998,4267.69387,98.36
2026-05-08 13:45:00+00:00,2026-05-08 15:45:00+02:00,2026-05-08,15,45,3,4,5,26.489999999999995,73.31,1077.93,21308.234280000004,0.8660254037844387,-0.4999999999999998,4363.31477,99.8
2026-05-08 14:00:00+00:00,2026-05-08 16:00:00+02:00,2026-05-08,16,0,0,4,5,-5.6299999999999955,94.94,1086.4,22588.942577,0.8660254037844387,-0.4999999999999998,4466.63729,89.31
2026-05-08 14:15:00+00:00,2026-05-08 16:15:00+02:00,2026-05-08,16,15,1,4,5,1.7600000000000051,94.94,1089.69,23872.103843999997,0.8660254037844387,-0.4999999999999998,4549.40139,96.7
2026-05-08 14:30:00+00:00,2026-05-08 16:30:00+02:00,2026-05-08,16,30,2,4,5,5.269999999999996,94.94,1091.99,25089.484205,0.8660254037844387,-0.4999999999999998,4637.94234,100.21
2026-05-08 14:45:00+00:00,2026-05-08 16:45:00+02:00,2026-05-08,16,45,3,4,5,14.120000000000005,94.94,1092.27,26440.402522000004,0.8660254037844387,-0.4999999999999998,4721.21445,109.06
2026-05-08 15:00:00+00:00,2026-05-08 17:00:00+02:00,2026-05-08,17,0,0,4,5,-17.689999999999998,114.13,1104.08,29071.403152999996,0.8660254037844387,-0.4999999999999998,4797.30702,96.44
2026-05-08 15:15:00+00:00,2026-05-08 17:15:00+02:00,2026-05-08,17,15,1,4,5,-8.599999999999994,114.13,1142.58,31236.363168,0.8660254037844387,-0.4999999999999998,4890.24888,105.53
2026-05-08 15:30:00+00:00,2026-05-08 17:30:00+02:00,2026-05-08,17,30,2,4,5,2.5400000000000063,114.13,1195.24,33033.469713,0.8660254037844387,-0.4999999999999998,4989.37114,116.67
2026-05-08 15:45:00+00:00,2026-05-08 17:45:00+02:00,2026-05-08,17,45,3,4,5,13.870000000000005,114.13,1235.91,35081.61138,0.8660254037844387,-0.4999999999999998,5089.39855,128.0
2026-05-08 16:00:00+00:00,2026-05-08 18:00:00+02:00,2026-05-08,18,0,0,4,5,-19.930000000000007,132.4,1279.18,37181.570858,0.8660254037844387,-0.4999999999999998,5189.76477,112.47
2026-05-08 16:15:00+00:00,2026-05-08 18:15:00+02:00,2026-05-08,18,15,1,4,5,-8.400000000000006,132.4,1356.56,39084.016445,0.8660254037844387,-0.4999999999999998,5323.62821,124.0
2026-05-08 16:30:00+00:00,2026-05-08 18:30:00+02:00,2026-05-08,18,30,2,4,5,-0.21000000000000796,132.4,1435.88,40901.968647,0.8660254037844387,-0.4999999999999998,5458.30982,132.19
2026-05-08 16:45:00+00:00,2026-05-08 18:45:00+02:00,2026-05-08,18,45,3,4,5,10.310000000000002,132.4,1513.35,42686.336075,0.8660254037844387,-0.4999999999999998,5591.48971,142.71
2026-05-08 17:00:00+00:00,2026-05-08 19:00:00+02:00,2026-05-08,19,0,0,4,5,-12.350000000000023,146.3,1599.64,43910.110241999995,0.8660254037844387,-0.4999999999999998,5742.99708,133.95
2026-05-08 17:15:00+00:00,2026-05-08 19:15:00+02:00,2026-05-08,19,15,1,4,5,-2.6200000000000045,146.3,1719.88,45088.320387,0.8660254037844387,-0.4999999999999998,5962.72154,143.68
2026-05-08 17:30:00+00:00,2026-05-08 19:30:00+02:00,2026-05-08,19,30,2,4,5,7.069999999999993,146.3,1836.16,45846.009920000004,0.8660254037844387,-0.4999999999999998,6174.99996,153.37
2026-05-08 17:45:00+00:00,2026-05-08 19:45:00+02:00,2026-05-08,19,45,3,4,5,18.69999999999999,146.3,1952.45,46518.838567000006,0.8660254037844387,-0.4999999999999998,6426.51263,165.0
2026-05-08 18:00:00+00:00,2026-05-08 20:00:00+02:00,2026-05-08,20,0,0,4,5,8.810000000000002,150.24,2072.23,46333.356922,0.8660254037844387,-0.4999999999999998,6706.27843,159.05
2026-05-08 18:15:00+00:00,2026-05-08 20:15:00+02:00,2026-05-08,20,15,1,4,5,5.769999999999982,150.24,2211.49,45958.80031399999,0.8660254037844387,-0.4999999999999998,7045.60227,156.01
2026-05-08 18:30:00+00:00,2026-05-08 20:30:00+02:00,2026-05-08,20,30,2,4,5,3.769999999999982,150.24,2346.73,45400.074637,0.8660254037844387,-0.4999999999999998,7470.29051,154.01
2026-05-08 18:45:00+00:00,2026-05-08 20:45:00+02:00,2026-05-08,20,45,3,4,5,3.9299999999999784,150.24,2485.01,44505.826174,0.8660254037844387,-0.4999999999999998,7887.70232,154.17
2026-05-08 19:00:00+00:00,2026-05-08 21:00:00+02:00,2026-05-08,21,0,0,4,5,23.02000000000001,137.28,2749.72,43435.012906,0.8660254037844387,-0.4999999999999998,8271.88607,160.3
2026-05-08 19:15:00+00:00,2026-05-08 21:15:00+02:00,2026-05-08,21,15,1,4,5,8.169999999999987,137.28,2833.25,42348.814273,0.8660254037844387,-0.4999999999999998,8623.6081,145.45
2026-05-08 19:30:00+00:00,2026-05-08 21:30:00+02:00,2026-05-08,21,30,2,4,5,1.8100000000000023,137.28,2909.75,41183.181247,0.8660254037844387,-0.4999999999999998,9002.30417,139.09
