feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
da_price_eur_mwh,0.5555555555555556,0.3333333333333333,5.0,3.0,2.912230858804378,2.5068622770385485,11.020329815942466,0.0,1.0,False,True,kept,5808,1.0,3062,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.28336227987987617,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_lag_1d_same_local_qh,0.5555555555555556,0.3333333333333333,5.0,3.0,1.7898264110080169,1.7444688542949176,7.444008878088236,0.0,1.0,False,True,kept,3456,0.5950413223140496,2993,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,da_price_eur_mwh,0.11193961911160018,0.23307548859464783,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,elasticnet_coefficients
load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.5555555555555556,0.3333333333333333,5.0,3.0,1.6916151307919087,1.740239940450284,5.316902925982385,0.0,1.0,False,True,kept,2736,0.47107438016528924,2640,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.17507560097762082,0.19014911801406525,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,elasticnet_coefficients
wind_onshore_forecast_da_mw,0.5555555555555556,0.3333333333333333,5.0,3.0,0.9427315191612422,1.3649986370084606,2.3078820631161827,0.0,1.0,False,True,kept,5808,1.0,5808,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,kept,renewable_total_forecast_da_mw,0.45084258507867514,0.17595176736052817,da_forecast,forecast_level,wind_onshore_forecast_da_mw,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,elasticnet_coefficients
wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.5555555555555556,0.3333333333333333,5.0,3.0,1.0454622128567903,1.3268503795069895,2.8348029606521554,0.0,1.0,False,True,kept,2736,0.47107438016528924,2736,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,first_ranked_feature,,0.0,0.20979672890285717,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,False,elasticnet_coefficients
load_da_forecast_error_mw_rolling_std_3d_same_local_qh,0.5555555555555556,0.3333333333333333,5.0,3.0,1.0561804475012204,1.2546913546148608,2.8839335461854634,0.0,1.0,False,True,kept,2736,0.47107438016528924,2640,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_std_7d_same_local_qh,0.5294248616790785,0.03783363312972959,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False,elasticnet_coefficients
ida3_price_eur_mwh_regime_vol_7d_over_28d,0.5555555555555556,0.3333333333333333,5.0,3.0,1.0302625864835144,0.8884399769135485,3.0110019519368776,0.0,1.0,False,True,kept,5040,0.8677685950413223,5040,regime_volatility,regime,ida3_price_eur_mwh,True,kept,da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.226282711291409,0.07490025252894589,regime_volatility,regime,ida3_price_eur_mwh,regime_volatility,regime,ida3_price_eur_mwh,False,elasticnet_coefficients
total_generation_forecast_da_mw_lag_7d_same_local_qh,0.5555555555555556,0.3333333333333333,5.0,3.0,0.7127355742279933,0.5526295026309784,2.4054597002149416,0.0,1.0,False,True,kept,5664,0.9752066115702479,5664,da_forecast,forecast_level,total_generation_forecast_da_mw,True,kept,renewable_total_forecast_da_mw_lag_7d_same_local_qh,0.8051631291796798,0.01615131947942502,da_forecast,forecast_level,total_generation_forecast_da_mw,da_forecast,forecast_level,total_generation_forecast_da_mw,False,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,0.5555555555555556,0.3333333333333333,5.0,3.0,0.3897297120643725,0.5246385802300958,1.1256984477140723,0.0,1.0,False,True,kept,5040,0.8677685950413223,5040,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,True,kept,ida3_price_eur_mwh_regime_vol_7d_over_28d,0.5644789287814969,0.0608565251773562,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,False,elasticnet_coefficients
total_generation_forecast_da_mw,0.5555555555555556,0.3333333333333333,5.0,3.0,0.7559278246524335,0.41771652981593205,2.635086301838655,0.0,1.0,False,True,kept,5808,1.0,5808,da_forecast,forecast_level,total_generation_forecast_da_mw,True,kept,renewable_total_forecast_da_mw,0.7924236509842515,0.14896720185629442,da_forecast,forecast_level,total_generation_forecast_da_mw,da_forecast,forecast_level,total_generation_forecast_da_mw,False,elasticnet_coefficients
