feature,selected,selection_reason
hour_local,False,not_baseline_feature
quarter_hour_local,False,not_baseline_feature
weekday_local,False,not_baseline_feature
month_local,False,not_baseline_feature
is_weekend,False,not_baseline_feature
hour_sin,False,not_baseline_feature
hour_cos,False,not_baseline_feature
quarter_sin,False,not_baseline_feature
quarter_cos,False,not_baseline_feature
weekday_sin,False,not_baseline_feature
weekday_cos,False,not_baseline_feature
month_sin,False,not_baseline_feature
month_cos,False,not_baseline_feature
da_price_eur_mwh,False,not_baseline_feature
solar_forecast_da_mw,False,not_baseline_feature
wind_offshore_forecast_da_mw,False,not_baseline_feature
wind_onshore_forecast_da_mw,False,not_baseline_feature
wind_total_forecast_da_mw,False,not_baseline_feature
renewable_total_forecast_da_mw,False,not_baseline_feature
load_forecast_da_mw,False,not_baseline_feature
residual_load_forecast_da_mw,False,not_baseline_feature
total_generation_forecast_da_mw,False,not_baseline_feature
solar_forecast_id_mw,False,not_baseline_feature
wind_offshore_forecast_id_mw,False,not_baseline_feature
wind_onshore_forecast_id_mw,False,not_baseline_feature
wind_total_forecast_id_mw,False,not_baseline_feature
renewable_total_forecast_id_mw,False,not_baseline_feature
residual_load_forecast_id_approx_mw,False,not_baseline_feature
solar_forecast_revision_id_minus_da_mw,False,not_baseline_feature
wind_onshore_forecast_revision_id_minus_da_mw,False,not_baseline_feature
wind_offshore_forecast_revision_id_minus_da_mw,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw,False,not_baseline_feature
ida1_price_eur_mwh,False,not_baseline_feature
ida1_minus_da_spread_eur_mwh,False,not_baseline_feature
ida1_volume_mw,False,not_baseline_feature
ida2_price_eur_mwh,False,not_baseline_feature
ida2_minus_da_spread_eur_mwh,False,not_baseline_feature
ida2_volume_mw,False,not_baseline_feature
ida3_minus_da_spread_eur_mwh_lag_1d_same_local_qh,True,seasonal_naive_fixed_rule
ida3_price_eur_mwh_lag_1d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_lag_1d_same_local_qh,False,not_baseline_feature
