feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,1.0,0.7777777777777778,9.0,7.0,0.033083551372729614,0.03291250309267481,0.05076789326028819,5.555555555555555,1.0,True,True,kept,2736,0.47107438016528924,2640,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.17507560097762082,0.19014911801406525,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True
ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,0.8888888888888888,0.7777777777777778,8.0,7.0,0.03236917276243361,0.03804042798973948,0.049079044007786087,30.88888888888889,2.0,True,True,kept,5040,0.8677685950413223,5040,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,True,kept,ida3_price_eur_mwh_regime_vol_7d_over_28d,0.5644789287814969,0.0608565251773562,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,regime_volatility,regime,ida3_minus_da_spread_eur_mwh,True
wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.8888888888888888,0.7777777777777778,8.0,7.0,0.029862338566037865,0.03440876409251693,0.047355965843855104,10.333333333333334,2.0,True,True,kept,2736,0.47107438016528924,2640,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.8110635306999251,0.13133535678704242,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True
wind_onshore_forecast_da_mw,1.0,0.7777777777777778,9.0,7.0,0.02565278360956054,0.021245292629180866,0.0556238882506439,10.555555555555555,4.0,True,True,kept,5808,1.0,5808,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,kept,renewable_total_forecast_da_mw,0.45084258507867514,0.17595176736052817,da_forecast,forecast_level,wind_onshore_forecast_da_mw,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True
ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,0.8888888888888888,0.7777777777777778,8.0,7.0,0.02215488875167982,0.02426502908151022,0.029078363864478356,31.11111111111111,6.0,True,True,kept,3312,0.5702479338842975,3189,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_price_eur_mwh_lag_7d_same_local_qh,0.25186912380526816,0.10230636616853737,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True
ida3_price_eur_mwh_lag_14d_same_local_qh,1.0,0.7777777777777778,9.0,7.0,0.018170926320741257,0.017776276278880763,0.024941657795426835,14.0,8.0,True,True,kept,3312,0.5702479338842975,2605,ida3_history,market_history,ida3_price_eur_mwh,True,kept,da_price_eur_mwh,0.5795027379207727,0.19463507369705504,ida3_history,market_history,ida3_price_eur_mwh,ida3_history,market_history,ida3_price_eur_mwh,True
ida3_price_eur_mwh_regime_vol_7d_over_28d,0.8888888888888888,0.6666666666666666,8.0,6.0,0.02836055576713324,0.0193474881864355,0.10571246457587886,13.555555555555555,2.0,True,True,kept,5040,0.8677685950413223,5040,regime_volatility,regime,ida3_price_eur_mwh,True,kept,da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.226282711291409,0.07490025252894589,regime_volatility,regime,ida3_price_eur_mwh,regime_volatility,regime,ida3_price_eur_mwh,True
ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,0.6666666666666666,0.6666666666666666,6.0,6.0,0.016408935858465243,0.018413630923949573,0.023286508919472832,36.55555555555556,11.0,True,True,kept,3312,0.5702479338842975,2972,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_lag_1d_same_local_qh,0.6790424141289017,0.21115551436854144,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True
load_forecast_da_mw_lag_1d_same_local_qh,0.6666666666666666,0.5555555555555556,6.0,5.0,0.03994824939262056,0.048452491131227786,0.07360236963253056,29.0,1.0,False,True,kept,5808,1.0,5808,da_forecast,forecast_level,load_forecast_da_mw,True,kept,load_forecast_da_mw,0.7568209855742403,0.09264370451298216,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,True
ida3_price_eur_mwh_regime_abs_median_28d_over_vol,0.7777777777777778,0.5555555555555556,7.0,5.0,0.03223243761338422,0.04097885740565549,0.058172003741748246,55.0,1.0,False,True,kept,5328,0.9173553719008265,5327,regime_level,regime,ida3_price_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_regime_vol_28d,0.5684067427308539,0.060181716834092146,regime_level,regime,ida3_price_eur_mwh,regime_level,regime,ida3_price_eur_mwh,True
