target,model,folds,mean_val_rmse,mean_val_mae,mean_directional_accuracy,mean_signal_spearman,total_pnl,mean_hit_rate_traded
ida1_spread,xgboost,18,16.420296,8.958728,0.769355,0.706638,341021.3675,0.911075
ida1_spread,elasticnet,18,16.468622,9.061929,0.768871,0.705212,345002.169167,0.913764
ida1_spread,seasonal_naive,18,16.719695,9.259786,0.769577,0.70281,343314.164167,0.907684
ida1_price,elasticnet,18,16.931759,9.535717,0.756408,0.686294,329006.721667,0.894837
ida1_price,xgboost,18,21.574285,12.28835,0.664965,0.447449,235160.3775,0.74094
ida1_price,seasonal_naive,18,47.330348,31.071056,0.601722,0.26378,117099.571667,0.620397
ida2_spread,seasonal_naive,8,17.497896,10.952397,0.747658,0.659337,169615.91,0.879639
ida2_spread,xgboost,8,17.800775,11.060064,0.74343,0.639704,174619.93,0.86933
ida2_spread,elasticnet,8,17.840924,10.828551,0.736709,0.637808,171859.92,0.878865
ida2_price,elasticnet,8,18.082883,10.950367,0.738228,0.644364,166632.69,0.877044
ida2_price,xgboost,8,20.755249,12.404325,0.710661,0.589186,150737.54,0.83799
ida2_price,seasonal_naive,8,42.429042,27.52797,0.62813,0.302275,53279.24,0.637531
ida3_spread,xgboost,9,28.115264357311464,16.378570830347584,0.5240740740740741,0.0441945215068122,7890.13,0.4702987651537312
ida3_spread,seasonal_naive,9,28.187733832003104,16.786403935185188,0.5789351851851853,0.1333086986968634,13082.78,0.6172166095140722
ida3_spread,elasticnet,9,28.39337958754738,16.684466227645885,0.5243055555555556,0.1092518182457834,4186.96,0.5553816322637144
ida3_price,elasticnet,9,34.31089667280331,21.21183756745984,0.544675925925926,0.2108432440729968,2500.84,0.6080053774906106
ida3_price,xgboost,9,40.04879804336238,23.25342218170205,0.5203703703703704,0.1372237139794158,2136.74,0.5281315637246426
ida3_price,seasonal_naive,9,52.20206596320367,35.36947881485156,0.5624338624338624,0.1884162794071939,-3014.59,0.5967375758483277
